event_id,event_date,group,event_type,event_name,source_url,verified_on,date_basis,notes,source_url_2,event_day,date,gfn_reviews_count,gfn_sentiment_score,gfn_avg_rating,gfn_negative_share,gfn_one_star_share,period,eligible,pre_sentiment,pre_rating,pre_negative_share,pre_one_star_share,abnormal_sentiment,abnormal_rating,abnormal_negative_share,abnormal_one_star_share
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-28,2020-08-04,3,0.3086333333333333,4.333333333333333,0.0,0.0,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.05921584699453558,0.4480874316939887,-0.14754098360655737,-0.14754098360655737
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-27,2020-08-05,7,0.2108571428571428,2.857142857142857,0.0,0.4285714285714285,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.1569920374707261,-1.0281030444964872,-0.14754098360655737,0.2810304449648711
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-26,2020-08-06,8,0.19425,3.5,0.25,0.25,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.1735991803278689,-0.38524590163934436,0.10245901639344263,0.10245901639344263
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-25,2020-08-07,5,0.34018,3.8,0.2,0.2,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.027669180327868914,-0.08524590163934453,0.05245901639344264,0.05245901639344264
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-24,2020-08-08,4,-0.169725,2.5,0.5,0.5,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.5375741803278689,-1.3852459016393444,0.3524590163934426,0.3524590163934426
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-23,2020-08-09,5,0.13562,3.0,0.4,0.2,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.2322291803278689,-0.8852459016393444,0.25245901639344265,0.05245901639344264
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-22,2020-08-10,12,0.4624166666666666,3.5,0.0,0.1666666666666666,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,0.09456748633879769,-0.38524590163934436,-0.14754098360655737,0.019125683060109228
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-21,2020-08-11,3,0.2083,1.0,0.0,1.0,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.15954918032786888,-2.8852459016393444,-0.14754098360655737,0.8524590163934427
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-20,2020-08-12,5,0.58186,4.0,0.0,0.0,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,0.21401081967213115,0.11475409836065564,-0.14754098360655737,-0.14754098360655737
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,-19,2020-08-13,7,0.3518714285714285,3.4285714285714284,0.2857142857142857,0.1428571428571428,earlier_pre,True,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,-0.015977751756440395,-0.456674473067916,0.13817330210772832,-0.004683840749414581
